github_path,filename,source_local_path,sha256,size_bytes,project_stage,status,authoritative,usable_now,problem,notes
research/btc_macro_nautilus/macro_structure/v2/macro_legs_log20.csv,macro_legs_log20.csv,/Users/yeshevika/Documents/Codex/2026-07-17/new-chat/outputs/macro_structure_review_log20_fibtime_fixed_v2_20260718/macro_legs_log20.csv,c7f7166a72f57ee9af75ddc0d5711d45d8371b546d83c10cdc77bc129523d0d3,22232,macro_structure_v2,authoritative,YES,YES,Mixed-source Sep-Dec 2019 provenance remains and is documented separately.,Expected approved SHA matched.
research/btc_macro_nautilus/macro_structure/v2/movement_segments_log20_fibtime.csv,movement_segments_log20_fibtime.csv,/Users/yeshevika/Documents/Codex/2026-07-17/new-chat/outputs/macro_structure_review_log20_fibtime_fixed_v2_20260718/movement_segments_log20_fibtime.csv,43944a22ae2e22903e19e63f23900f7b9eab7319d9f342bd46ee2ed8335c4c5f,27503,macro_structure_v2,working,NO,YES,Only meaningful together with the same run inputs and approved legs.,Part of approved macro structure run.
research/btc_macro_nautilus/macro_structure/v2/structural_impulses_log20_fibtime.csv,structural_impulses_log20_fibtime.csv,/Users/yeshevika/Documents/Codex/2026-07-17/new-chat/outputs/macro_structure_review_log20_fibtime_fixed_v2_20260718/structural_impulses_log20_fibtime.csv,d043d48bc417a27c1a917f571013dcc3a0239c4a781c8926ff006c84f15c82eb,29341,macro_structure_v2,working,NO,YES,Interpret only with same-run segmentation.,Part of approved macro structure run.
research/btc_macro_nautilus/macro_structure/v2/corrections_log20_fibtime.csv,corrections_log20_fibtime.csv,/Users/yeshevika/Documents/Codex/2026-07-17/new-chat/outputs/macro_structure_review_log20_fibtime_fixed_v2_20260718/corrections_log20_fibtime.csv,8d93dfd1b030c89c0acd9c62ada8a3e5db67ac31a905f6f06b97c13620285f52,37862,macro_structure_v2,working,NO,YES,Interpret only with same-run segmentation.,Part of approved macro structure run.
research/btc_macro_nautilus/macro_structure/v2/fibtime_events_log20.csv,fibtime_events_log20.csv,/Users/yeshevika/Documents/Codex/2026-07-17/new-chat/outputs/macro_structure_review_log20_fibtime_fixed_v2_20260718/fibtime_events_log20.csv,557725d1622f17b8e1f43475ddd5981eafa5d9914273f99af530879854de4c21,14175,macro_structure_v2,working,NO,YES,Run-specific derived events; not a standalone authority.,Part of approved macro structure run.
research/btc_macro_nautilus/macro_structure/v2/macro_events_log20.csv,macro_events_log20.csv,/Users/yeshevika/Documents/Codex/2026-07-17/new-chat/outputs/macro_structure_review_log20_fibtime_fixed_v2_20260718/macro_events_log20.csv,3f7dd68fe13197b50811f197176a0e80832fb575c894d4e255248ccbeb5f4fb4,108369,macro_structure_v2,working,NO,YES,Run-specific derived events; not a standalone authority.,Part of approved macro structure run.
research/btc_macro_nautilus/macro_structure/v2/market_regime_log20_fibtime_daily.csv,market_regime_log20_fibtime_daily.csv,/Users/yeshevika/Documents/Codex/2026-07-17/new-chat/outputs/macro_structure_review_log20_fibtime_fixed_v2_20260718/market_regime_log20_fibtime_daily.csv,3ff48630c6b138ed116d569d51538f7f07ed3a9001a80c915dfd4fafc523cc8a,345396,macro_structure_v2,working,NO,YES,"Regime labels are run metadata, not the approved macro-leg authority.",Part of approved macro structure run.
research/btc_macro_nautilus/macro_structure/v2/market_regime_log20_fibtime_events.csv,market_regime_log20_fibtime_events.csv,/Users/yeshevika/Documents/Codex/2026-07-17/new-chat/outputs/macro_structure_review_log20_fibtime_fixed_v2_20260718/market_regime_log20_fibtime_events.csv,0107553fda4776094e0df065c8ab869330da7823d73f7d06beda9cde7fb654cf,5287,macro_structure_v2,working,NO,YES,Diagnostic/derived view of regime processing.,Part of approved macro structure run.
research/btc_macro_nautilus/macro_structure/v2/market_regime_log20_fibtime_segments.csv,market_regime_log20_fibtime_segments.csv,/Users/yeshevika/Documents/Codex/2026-07-17/new-chat/outputs/macro_structure_review_log20_fibtime_fixed_v2_20260718/market_regime_log20_fibtime_segments.csv,8b1b1cbf687b8b634ef3d0d723512664a1cd5dfa314aaad63fde27198874482f,2594,macro_structure_v2,working,NO,YES,Diagnostic/derived view of regime processing.,Part of approved macro structure run.
research/btc_macro_nautilus/macro_structure/v2/summary_log20_fibtime_fixed.json,summary_log20_fibtime_fixed.json,/Users/yeshevika/Documents/Codex/2026-07-17/new-chat/outputs/macro_structure_review_log20_fibtime_fixed_v2_20260718/summary_log20_fibtime_fixed.json,520ad8fed53c7eff69134d1a564c91d9d2403ec01932e7d516e0a04c275dd60e,6845,macro_structure_v2,working,NO,YES,"JSON still references a v1 output directory, so it is metadata only.",Already existed in archive at a legacy path.
research/btc_macro_nautilus/macro_structure/v2/macro_structure_review_log20.html,macro_structure_review_log20.html,/Users/yeshevika/Documents/Codex/2026-07-17/new-chat/outputs/macro_structure_review_log20_fibtime_fixed_v2_20260718/macro_structure_review_log20.html,1ea6803605880025dc24fa3414ecbaa7f47cf28fde691a89fe541c6b25977891,4864548,macro_structure_v2,diagnostic,NO,YES,Review artifact only; not a machine-readable source of truth.,Visual review output from approved run.
research/btc_macro_nautilus/macro_structure/v2/macro_structure_with_market_regime_log20_fibtime_fixed.html,macro_structure_with_market_regime_log20_fibtime_fixed.html,/Users/yeshevika/Documents/Codex/2026-07-17/new-chat/outputs/macro_structure_review_log20_fibtime_fixed_v2_20260718/macro_structure_with_market_regime_log20_fibtime_fixed.html,768587d073806a6d3fbf61ba4ea2a3618adb3e7f1d7e79038c16645d4da5d91f,4812710,macro_structure_v2,diagnostic,NO,YES,Review artifact only; not a machine-readable source of truth.,Visual review output from approved run.
research/btc_macro_nautilus/macro_structure/v8/macro_legs_log20.csv,macro_legs_log20.csv,/Users/yeshevika/Documents/Codex/2026-07-17/new-chat/outputs/macro_structure_review_log20_fibtime_fixed_v8_20260718/macro_legs_log20.csv,c7f7166a72f57ee9af75ddc0d5711d45d8371b546d83c10cdc77bc129523d0d3,22232,macro_structure_v8,working,NO,YES,"Not separately designated as approved, even though its SHA matches the approved v2 file.",Observed SHA-256 equality with v2 approved file.
research/btc_macro_nautilus/macro_structure/v8/movement_segments_log20_fibtime.csv,movement_segments_log20_fibtime.csv,/Users/yeshevika/Documents/Codex/2026-07-17/new-chat/outputs/macro_structure_review_log20_fibtime_fixed_v8_20260718/movement_segments_log20_fibtime.csv,43944a22ae2e22903e19e63f23900f7b9eab7319d9f342bd46ee2ed8335c4c5f,27503,macro_structure_v8,working,NO,YES,"Later upstream output, not the approval artifact itself.",Used by later Structure Research work.
research/btc_macro_nautilus/macro_structure/v8/structural_impulses_log20_fibtime.csv,structural_impulses_log20_fibtime.csv,/Users/yeshevika/Documents/Codex/2026-07-17/new-chat/outputs/macro_structure_review_log20_fibtime_fixed_v8_20260718/structural_impulses_log20_fibtime.csv,d043d48bc417a27c1a917f571013dcc3a0239c4a781c8926ff006c84f15c82eb,29341,macro_structure_v8,working,NO,YES,"Later upstream output, not the approval artifact itself.",Used by later Structure Research work.
research/btc_macro_nautilus/macro_structure/v8/corrections_log20_fibtime.csv,corrections_log20_fibtime.csv,/Users/yeshevika/Documents/Codex/2026-07-17/new-chat/outputs/macro_structure_review_log20_fibtime_fixed_v8_20260718/corrections_log20_fibtime.csv,8d93dfd1b030c89c0acd9c62ada8a3e5db67ac31a905f6f06b97c13620285f52,37862,macro_structure_v8,working,NO,YES,"Later upstream output, not the approval artifact itself.",Used by later Structure Research work.
research/btc_macro_nautilus/macro_structure/v8/fibtime_events_log20.csv,fibtime_events_log20.csv,/Users/yeshevika/Documents/Codex/2026-07-17/new-chat/outputs/macro_structure_review_log20_fibtime_fixed_v8_20260718/fibtime_events_log20.csv,557725d1622f17b8e1f43475ddd5981eafa5d9914273f99af530879854de4c21,14175,macro_structure_v8,working,NO,YES,"Later upstream output, not the approval artifact itself.",Used by later Structure Research work.
research/btc_macro_nautilus/macro_structure/v8/macro_events_log20.csv,macro_events_log20.csv,/Users/yeshevika/Documents/Codex/2026-07-17/new-chat/outputs/macro_structure_review_log20_fibtime_fixed_v8_20260718/macro_events_log20.csv,3f7dd68fe13197b50811f197176a0e80832fb575c894d4e255248ccbeb5f4fb4,108369,macro_structure_v8,working,NO,YES,"Later upstream output, not the approval artifact itself.",Used by later Structure Research work.
research/btc_macro_nautilus/macro_structure/v8/market_state_candidate_diagnostics_log20_fibtime.csv,market_state_candidate_diagnostics_log20_fibtime.csv,/Users/yeshevika/Documents/Codex/2026-07-17/new-chat/outputs/macro_structure_review_log20_fibtime_fixed_v8_20260718/market_state_candidate_diagnostics_log20_fibtime.csv,2980f1391df9adbaab5cb615727e4eeea2c95d81a82cc589c2bf1e4652aad24e,2831,macro_structure_v8,diagnostic,NO,YES,Diagnostic artifact only.,Useful for debugging v8 changes.
research/btc_macro_nautilus/macro_structure/v8/market_state_log20_fibtime_daily.csv,market_state_log20_fibtime_daily.csv,/Users/yeshevika/Documents/Codex/2026-07-17/new-chat/outputs/macro_structure_review_log20_fibtime_fixed_v8_20260718/market_state_log20_fibtime_daily.csv,2a2a6cc061c42c4c772560dacd5003f43a699a7416f7470cd61a2c1bf947c996,345731,macro_structure_v8,working,NO,YES,"State labels are upstream metadata, not final macro-leg authority.",Used by later Structure Research work.
research/btc_macro_nautilus/macro_structure/v8/market_state_log20_fibtime_events.csv,market_state_log20_fibtime_events.csv,/Users/yeshevika/Documents/Codex/2026-07-17/new-chat/outputs/macro_structure_review_log20_fibtime_fixed_v8_20260718/market_state_log20_fibtime_events.csv,945a4848712a2d05a538f7bb78f1366ce671ea739396fbde28eea3c658a2c2b9,3724,macro_structure_v8,working,NO,YES,Derived state event view only.,Used by later Structure Research work.
research/btc_macro_nautilus/macro_structure/v8/market_state_log20_fibtime_segments.csv,market_state_log20_fibtime_segments.csv,/Users/yeshevika/Documents/Codex/2026-07-17/new-chat/outputs/macro_structure_review_log20_fibtime_fixed_v8_20260718/market_state_log20_fibtime_segments.csv,848d576b7547d2078c708e6ec93cc040a1252ca0d326e734565ba5d631dfd6af,2034,macro_structure_v8,working,NO,YES,Derived state segment view only.,Used by later Structure Research work.
research/btc_macro_nautilus/macro_structure/v8/structural_regime_segments_log20_fibtime.csv,structural_regime_segments_log20_fibtime.csv,/Users/yeshevika/Documents/Codex/2026-07-17/new-chat/outputs/macro_structure_review_log20_fibtime_fixed_v8_20260718/structural_regime_segments_log20_fibtime.csv,7f782848a1ba33198a36ebccb6162b15e6112561de502fd7f0c0d958121ce5cb,14113,macro_structure_v8,working,NO,YES,"Later upstream output, not an approval artifact.",Used by later Structure Research work.
research/btc_macro_nautilus/macro_structure/v8/summary_log20_fibtime_fixed.json,summary_log20_fibtime_fixed.json,/Users/yeshevika/Documents/Codex/2026-07-17/new-chat/outputs/macro_structure_review_log20_fibtime_fixed_v8_20260718/summary_log20_fibtime_fixed.json,ddd974d3f64c52146aeea7f5699e9bdd3c011b40498da7ee9090fcdde2baa974,4662,macro_structure_v8,working,NO,YES,Summary metadata only.,Used by later Structure Research work.
research/btc_macro_nautilus/macro_structure/v8/macro_structure_review_log20.html,macro_structure_review_log20.html,/Users/yeshevika/Documents/Codex/2026-07-17/new-chat/outputs/macro_structure_review_log20_fibtime_fixed_v8_20260718/macro_structure_review_log20.html,1ea6803605880025dc24fa3414ecbaa7f47cf28fde691a89fe541c6b25977891,4864548,macro_structure_v8,diagnostic,NO,YES,Review artifact only.,Visual review output from v8 run.
research/btc_macro_nautilus/macro_structure/v8/macro_structure_with_market_regime_log20_fibtime_fixed.html,macro_structure_with_market_regime_log20_fibtime_fixed.html,/Users/yeshevika/Documents/Codex/2026-07-17/new-chat/outputs/macro_structure_review_log20_fibtime_fixed_v8_20260718/macro_structure_with_market_regime_log20_fibtime_fixed.html,f18d37107e6c9261064d80eff24ed3c0e57caca3298e06c0fdd7ecaf7f0ab0a4,4803521,macro_structure_v8,diagnostic,NO,YES,Review artifact only.,Visual review output from v8 run.
