impulse_id,direction,start_event_id,end_event_id,start_time,start_price,end_time,end_price,available_at_time,regime_anchor_time,regime_anchor_price,status,structural_status,confirmed_at,is_open,duration_days,fib_wait_days,fib_deadline,duration
SFI0001,up,E00008,E00010,2017-08-23T00:00:00+00:00,4013.89,2017-09-02T00:00:00+00:00,4939.19,2017-09-12T00:00:00+00:00,2017-08-23T00:00:00+00:00,4013.89,finished_confirmed,impulse_finished_confirmed,2017-09-12T00:00:00+00:00,False,10.0,10.0,2017-09-12T00:00:00+00:00,10.0
SFI0002,up,E00012,E00013,2017-09-05T00:00:00+00:00,3603.0,2017-09-07T00:00:00+00:00,4788.59,2017-09-17T00:00:00+00:00,2017-09-05T00:00:00+00:00,3603.0,finished_confirmed,impulse_finished_confirmed,2017-09-17T00:00:00+00:00,False,2.0,10.0,2017-09-17T00:00:00+00:00,2.0
SFI0003,down,E00038,E00041,2017-11-08T00:00:00+00:00,7770.02,2017-11-12T00:00:00+00:00,5325.01,2017-11-22T00:00:00+00:00,2017-11-08T00:00:00+00:00,7770.02,finished_confirmed,impulse_finished_confirmed,2017-11-22T00:00:00+00:00,False,4.0,10.0,2017-11-22T00:00:00+00:00,4.0
SFI0004,down,E00052,E00054,2017-11-29T00:00:00+00:00,11300.03,2017-11-30T00:00:00+00:00,8850.8,2017-12-10T00:00:00+00:00,2017-11-29T00:00:00+00:00,11300.03,finished_confirmed,impulse_finished_confirmed,2017-12-10T00:00:00+00:00,False,1.0,10.0,2017-12-10T00:00:00+00:00,1.0
SFI0005,down,E00059,E00065,2017-12-07T00:00:00+00:00,16649.96,2017-12-10T00:00:00+00:00,12368.0,2017-12-20T00:00:00+00:00,2017-12-07T00:00:00+00:00,16649.96,finished_confirmed,impulse_finished_confirmed,2017-12-20T00:00:00+00:00,False,3.0,10.0,2017-12-20T00:00:00+00:00,3.0
SFI0006,up,E00065,E00070,2017-12-10T00:00:00+00:00,12368.0,2017-12-17T00:00:00+00:00,19798.68,2017-12-27T00:00:00+00:00,2017-12-10T00:00:00+00:00,12368.0,finished_confirmed,impulse_finished_confirmed,2017-12-27T00:00:00+00:00,False,7.0,10.0,2017-12-27T00:00:00+00:00,7.0
SFI0007,down,E00070,E00077,2017-12-17T00:00:00+00:00,19798.68,2017-12-24T00:00:00+00:00,11640.0,2018-01-03T00:00:00+00:00,2017-12-17T00:00:00+00:00,19798.68,finished_confirmed,impulse_finished_confirmed,2018-01-03T00:00:00+00:00,False,7.0,10.0,2018-01-03T00:00:00+00:00,7.0
SFI0008,down,E00078,E00081,2017-12-27T00:00:00+00:00,16498.05,2017-12-30T00:00:00+00:00,11750.0,2018-01-09T00:00:00+00:00,2017-12-27T00:00:00+00:00,16498.05,finished_confirmed,impulse_finished_confirmed,2018-01-09T00:00:00+00:00,False,3.0,10.0,2018-01-09T00:00:00+00:00,3.0
SFI0009,up,E00085,E00086,2018-01-04T00:00:00+00:00,13918.04,2018-01-05T00:00:00+00:00,17176.24,2018-01-15T00:00:00+00:00,2018-01-04T00:00:00+00:00,13918.04,finished_confirmed,impulse_finished_confirmed,2018-01-15T00:00:00+00:00,False,1.0,10.0,2018-01-15T00:00:00+00:00,1.0
SFI0010,down,E00086,E00093,2018-01-05T00:00:00+00:00,17176.24,2018-01-17T00:00:00+00:00,9037.94,2018-01-27T00:00:00+00:00,2018-01-05T00:00:00+00:00,17176.24,finished_confirmed,impulse_finished_confirmed,2018-01-27T00:00:00+00:00,False,12.0,10.0,2018-01-27T00:00:00+00:00,12.0
SFI0011,up,E00093,E00094,2018-01-17T00:00:00+00:00,9037.94,2018-01-20T00:00:00+00:00,13099.0,2018-01-30T00:00:00+00:00,2018-01-17T00:00:00+00:00,9037.94,finished_confirmed,impulse_finished_confirmed,2018-01-30T00:00:00+00:00,False,3.0,10.0,2018-01-30T00:00:00+00:00,3.0
SFI0012,up,E00096,E00097,2018-01-23T00:00:00+00:00,9905.0,2018-01-28T00:00:00+00:00,12244.0,2018-02-07T00:00:00+00:00,2018-01-23T00:00:00+00:00,9905.0,finished_confirmed,impulse_finished_confirmed,2018-02-07T00:00:00+00:00,False,5.0,10.0,2018-02-07T00:00:00+00:00,5.0
SFI0013,up,E00103,E00107,2018-02-05T00:00:00+00:00,6625.0,2018-02-20T00:00:00+00:00,11786.01,2018-03-02T00:00:00+00:00,2018-02-05T00:00:00+00:00,6625.0,finished_confirmed,impulse_finished_confirmed,2018-03-02T00:00:00+00:00,False,15.0,10.0,2018-03-02T00:00:00+00:00,15.0
SFI0014,down,E00107,E00111,2018-02-20T00:00:00+00:00,11786.01,2018-02-25T00:00:00+00:00,9274.8,2018-03-07T00:00:00+00:00,2018-02-20T00:00:00+00:00,11786.01,finished_confirmed,impulse_finished_confirmed,2018-03-07T00:00:00+00:00,False,5.0,10.0,2018-03-07T00:00:00+00:00,5.0
SFI0015,up,E00111,E00112,2018-02-25T00:00:00+00:00,9274.8,2018-03-05T00:00:00+00:00,11710.0,2018-03-15T00:00:00+00:00,2018-02-25T00:00:00+00:00,9274.8,finished_confirmed,impulse_finished_confirmed,2018-03-15T00:00:00+00:00,False,8.0,10.0,2018-03-15T00:00:00+00:00,8.0
SFI0016,down,E00112,E00118,2018-03-05T00:00:00+00:00,11710.0,2018-03-18T00:00:00+00:00,7322.0,2018-03-28T00:00:00+00:00,2018-03-05T00:00:00+00:00,11710.0,finished_confirmed,impulse_finished_confirmed,2018-03-28T00:00:00+00:00,False,13.0,10.0,2018-03-28T00:00:00+00:00,13.0
SFI0017,up,E00118,E00119,2018-03-18T00:00:00+00:00,7322.0,2018-03-21T00:00:00+00:00,9177.01,2018-03-31T00:00:00+00:00,2018-03-18T00:00:00+00:00,7322.0,finished_confirmed,impulse_finished_confirmed,2018-03-31T00:00:00+00:00,False,3.0,10.0,2018-03-31T00:00:00+00:00,3.0
SFI0018,down,E00119,E00122,2018-03-21T00:00:00+00:00,9177.01,2018-04-01T00:00:00+00:00,6430.0,2018-04-12T23:59:59.999000+00:00,2018-03-21T00:00:00+00:00,9177.01,finished_confirmed,impulse_finished_confirmed,2018-04-11T00:00:00+00:00,False,11.0,10.0,2018-04-11T00:00:00+00:00,11.0
SFI0019,up,E00122,E00123,2018-04-01T00:00:00+00:00,6430.0,2018-05-05T00:00:00+00:00,10020.0,2018-05-17T23:42:43.200000+00:00,2018-04-01T00:00:00+00:00,6430.0,finished_confirmed,impulse_finished_confirmed,2018-05-17T23:42:43.200000+00:00,False,34.0,12.988,2018-05-17T23:42:43.200000+00:00,34.0
SFI0020,down,E00123,E00139,2018-05-05T00:00:00+00:00,10020.0,2018-06-24T00:00:00+00:00,5750.0,2018-07-17T23:59:59.999000+00:00,2018-05-05T00:00:00+00:00,10020.0,finished_confirmed,impulse_finished_confirmed,2018-07-13T02:24:00+00:00,False,50.0,19.1,2018-07-13T02:24:00+00:00,50.0
